name_subject_y,name_subject_y,slope,intercept,mean_squared_errorstatic
Tiếng Anh chuyên ngành 1 CE,Tiếng Anh chuyên ngành 1 CE,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Nhập môn ngành và kỹ năng mềm CE,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Tiếng Anh 1,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Tin học đại cương,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Đại số,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Cơ sở dữ liệu,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Lập trình hướng đối tượng và Java cơ bản,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Tiếng Anh chuyên ngành 2,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Đồ án cơ sở 1 - CE,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Tiếng Anh 2,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Vật lý,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Cấu trúc dữ liệu và giải thuật,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Nguyên lý hệ điều hành,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Kiến trúc máy tính,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Công nghệ Web,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Lập trình Java nâng cao,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Chuyên đề 1 (CE),0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Đồ án cơ sở 2_CE,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Tiếng Anh 3,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Toán rời rạc,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Mạng máy tính,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Phân tích và thiết kế hệ thống,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Tiếng Anh chuyên ngành & thực hành 1,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Công nghệ web nâng cao,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Hệ thống số,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Chuyên đề 2 (CE),0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Đồ án cơ sở 3 CE,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Thực tập doanh nghiệp CE,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Giải tích,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Xác suất thống kê,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Công nghệ phần mềm,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Tiếng Anh chuyên ngành & thực hành 2,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Vi điều khiển,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Lập trình di động,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Chuyên đề 3 (CE),0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Đồ án cơ sở 4 (CE),0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Lập trình mạng,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Quản trị mạng,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Trí tuệ nhân tạo,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Đồ họa máy tính,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Automat và Ngôn ngữ hình thức,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Quản lý dự án,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Chuyên đề 4 CE,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Đồ án cơ sở 5 CE,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Xử lý tín hiệu số,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Vi xử lý,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Lập trình trò chơi trên máy tính,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Lập trình hệ thống,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Bảo mật và An toàn hệ thống thông tin,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Phân tích và thiết kế giải thuật,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Kiểm thử phần mềm,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Lý thuyết mạch,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Kỹ thuật truyền số liệu,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Kỹ thuật điện tử,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Trình biên dịch,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Xử lý ảnh,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Triết học Mác - Lênin,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Tư tưởng Hồ Chí Minh,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Pháp luật đại cương,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Hệ thống nhúng,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Chuyên đề 5 (CE),0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Đồ án chuyên ngành 1 (CE),0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Cấu kiện điện tử,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Công nghệ Internet of thing,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Tương tác người - máy,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Đồ án chuyên ngành 2 CE,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Chuyên đề 6 CE,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Kinh tế chính trị Mác - Lênin,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Lịch sử Đảng Cộng sản Việt Nam,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Hệ thống di động và cảm biến,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Lý thuyết điều khiển tự động,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Kỹ thuật robot,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Điều khiển Robot,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Thị giác máy tính,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Hệ thống thời gian thực,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Hệ cơ sở dữ liệu phân tán,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Linux & phần mềm mã nguồn mở,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Chủ nghĩa xã hội khoa học,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Thực tập tốt nghiệp (CE),0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Đồ án tốt nghiệp (CE),0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Nhập môn ngành và kỹ năng mềm IT,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Tiếng Anh chuyên ngành 1 IT,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Chuyên đề 1 (IT),0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Chuyên đề 2,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Thực tập doanh nghiệp IT,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Chuyên đề 4 IT,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Giải tích 1,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Khởi nghiệp và đổi mới sáng tạo,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Tiếng Anh chuyên ngành 3,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Cấu kiện điện tử K20,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Đồ án cơ sở 2_CE_K20,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Giải tích 2,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Kỹ thuật mạch điện tử,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Tiếng Anh chuyên ngành 4 CE,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Tiếng Hàn 1,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Điện tử ứng dụng,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Kiến trúc và giao thức IoT,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Thiết kế mạch điện tử với sự trợ giúp của máy tính,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Lập trình hệ thống nhúng,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Truyền số liệu,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Đồ án cơ sở 4 CE K20,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Tiếng Hàn 2,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Hệ điều hành nhúng,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Chương trình dịch,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Thiết kế VLSI,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Lập trình Python cho hệ thống nhúng,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Thiết kế IC tương tự,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Linux và phần mềm nguồn mở,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Thiết kế số,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Đồ án chuyên ngành 3 (CE) K20,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Thiết kế FPGA/ASIC với Verilog,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Đồ án cơ sở 1 - IT,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Đồ án cơ sở 2_IT,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Đồ án cơ sở 3 IT,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Chuyên đề 3 (IT),0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Đồ án cơ sở 4 (IT),0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Đồ án cơ sở 5 IT,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Lập trình trong windows,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Hình họa,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Chuyên đề 5 (IT),0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Đồ án chuyên ngành 1 (IT),0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Linux & phần mềm nguồn mở,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Xử lý ngôn ngữ tự nhiên,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,"Phân tích, thiết kế mạng",0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Mạng không dây và di động,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Thiết kế đồ họa động và hoạt hình,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Chuyên đề 6 IT,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Đồ án chuyên ngành 2 IT,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Thương mại điện tử,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Điện toán đám mây,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Mật mã học,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Thiết kế và lập trình tương tác,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Thiết kế đồ họa 3D,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Xuất bản Truyền thông,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Kỹ xảo phim ảnh - truyền hình,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Thực tập tốt nghiệp (IT),0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Đồ án tốt nghiệp (IT),0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Công nghệ và lập trình web,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Đồ án cơ sở 2_IT_K20,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Tiếng Anh chuyên ngành 4 IT,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Đồ án cơ sở 3 IT K20,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Cơ sở tạo hình,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Đồ án cơ sở 4 IT K20,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Đồ họa máy tính IT K20,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Thiết kế và xây dựng hệ thống mạng,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Chuyển mạch và định tuyến,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Kịch bản truyền thông,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Lập trình web nâng cao,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Học máy,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Đồ án chuyên ngành 1 (IT) K20,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Giám sát hệ thống mạng,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Kỹ thuật chụp ảnh và quay phim,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Xử lý ảnh cơ bản,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Nghệ thuật chữ,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Thiết kế nhân vật 2 chiều,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Lập trình Game,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Kho dữ liệu,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Phát triển ứng dụng di động đa nền tảng,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Đảm bảo chất lượng và kiểm thử phần mềm,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Đồ án chuyên ngành 2 (IT) K20,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Kỹ thuật Robot,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Thiết kế nhân vật 3 chiều,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Học sâu,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Lập trình C++,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Mạng SDN (Software-Defined Networking),0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Kiểm thử xâm nhập,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Truyền thông đại chúng ứng dụng,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Thiết kế Poster quảng cáo,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Thiết kế nhận diện thương hiệu,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Thiết kế phông nền phim Hoạt hình,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Quản trị dự án phần mềm,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Đồ án chuyên ngành 3,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Phân tích mã độc,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,An toàn ứng dụng Web và CSDL,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Robot di động,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Hệ thống thực tế ảo,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Thiết kế hình hiệu (TV intro),0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Lập trình game nâng cao,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Biên tập phim kỹ thuật số,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Thiết kế UX/UI,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Lập trình Python,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Lập trình C#,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Thu thập và phân tích thông tin an ninh mạng,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Giao thức an toàn mạng,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Mạng cảm biến không dây,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Thiết kế truyện tranh,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Thiết kế ấn phẩm báo chí,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Tin học đại cương (BA),0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Nhập môn kinh doanh,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Quản trị học,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Đề án 1,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Giao tiếp kinh doanh,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Marketing căn bản,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Luật kinh doanh,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Kinh tế học,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Đề án 2,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Quản trị nguồn nhân lực,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Kỹ thuật đồ họa ứng dụng,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Nhập môn thương mại điện tử,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Đề án 3,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Hành vi tổ chức,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Thiết kế website KT,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Đề án 4,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Quản trị tài chính,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Đề án 5,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Hệ thống thông tin quản lý,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Kế toán doanh nghiệp,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Toán ứng dụng trong kinh tế,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Quản trị chuỗi cung ứng,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Chiến lược kinh doanh điện tử,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Đề án 6,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Phương pháp nghiên cứu khoa học trong kinh tế,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Thanh toán điện tử,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Đề án 7,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Thống kê kinh doanh,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Quản trị quá trình đổi mới sáng tạo,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Quản trị tác nghiệp thương mại điện tử,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Marketing điện tử,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Quảng cáo xúc tiến bán hàng (MCI),0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Quản trị bán hàng,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Đạo đức trong kinh doanh,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Khóa luận tốt nghiệp (BA),0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Kĩ năng thuyết trình,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Quản trị chiến lược,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Hành vi người tiêu dùng,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Ứng dụng tin học trong kinh doanh,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Kỹ năng làm việc nhóm,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Kỹ năng soạn thảo văn bản,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Kỹ năng sử dụng phần mềm power point,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Kỹ năng giải quyết vấn đề,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Thị trường và các định chế tài chính,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Kinh doanh quốc tế,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Quản trị sản xuất,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Quản trị marketing,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Quản trị thương hiệu,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Quản trị rủi ro trong TMĐT,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Phân tích và thiết kế hệ thống thông tin,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Kỹ năng tìm kiếm việc làm và tuyển dụng,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Kỹ năng thực hiện Khóa luận tốt nghiệp,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Kinh tế vi mô,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Kinh tế vĩ mô,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Nhập môn ngành và kỹ năng mềm BA,0,0,0,False
Tiếng Anh chuyên ngành 1 CE,Tiếng Anh chuyên ngành 1 BA,0,0,0,False
